id,Instance of,Title,Genre,Duration,Publication date,Netflix ID,Disney+ movie ID,Disney+ series ID,Hulu ID
Q130142,movie,Miller's Crossing,"['Q2421031', 'Q959790', 'Q130232', 'Q185867', 'Q20442589']",115.0,1990-01-01,60028099,,,
Q130769,movie,San Francisco,"['Q846544', 'Q130232', 'Q842256']",115.0,1936-01-01,60010854,,,
Q130868,movie,Some Kind of Wonderful,"['Q1054574', 'Q130232', 'Q1146335', 'Q2975633', 'Q157443']",94.0,1987-02-27,60023798,,,
Q133654,movie,The Silence of the Lambs,"['Q2484376', 'Q200092', 'Q604725', 'Q109733304', 'Q959790', 'Q130232', 'Q20442589', 'Q52207399']",118.0,1991-01-01,14546747,,,
Q135347,movie,Bird on a Wire,"['Q188473', 'Q860626', 'Q959790']",110.0,1990-01-01,308834,,,
Q137800,movie,The Yards,"['Q959790', 'Q130232']",110.0,2000-01-01,60002223,,,
Q139245,movie,La Bamba,"['Q645928', 'Q842256', 'Q130232']",107.0,1987-09-24,281550,,,
Q139460,movie,Ghost World,"['Q5442753', 'Q859369', 'Q1146335', 'Q2975633', 'Q192881', 'Q130232', 'Q157443']",111.0,2001-01-01,60020837,,,
Q139927,movie,Zack and Miri Make a Porno,"['Q860626', 'Q130232', 'Q157443']",102.0,2008-01-01,70099118,,,
Q141359,movie,Oliver!,"['Q842256', 'Q130232', 'Q52207399', 'Q959790']",146.0,1968-12-17,822391,,,
Q143605,movie,Tooth Fairy,"['Q157443', 'Q157394']",102.0,2010-01-01,70108018,,,
Q143901,movie,Flashback,"['Q157443', 'Q188473', 'Q959790']",104.0,1990-01-01,60024035,,,
Q144756,movie,Let the Right One In,"['Q200092', 'Q2137852', 'Q20442589', 'Q52207399', 'Q130232']",110.0,2008-10-24,70099621,,,
Q144970,movie,Hatari!,"['Q860626', 'Q188473', 'Q130232']",157.0,1962-01-01,60010428,,,
Q146605,movie,Zandalee,"['Q2439025', 'Q130232', 'Q2484376', 'Q599558']",86.0,1991-01-01,1147645,,,
Q147308,movie,Chernobyl Diaries,"['Q200092', 'Q1342372']",85.0,2012-01-01,70233317,,,
Q148330,movie,Zatōichi,"['Q188473', 'Q130232']",111.0,2003-01-01,60035211,,,
Q148428,movie,Prelude to a Kiss,"['Q860626', 'Q157394', 'Q20442589']",98.0,1992-07-10,60003767,,,
Q150047,movie,Crank,"['Q188473', 'Q19367312', 'Q959790']",88.0,2006-01-01,70051668,,,
Q150804,movie,The Pianist,"['Q842256', 'Q130232', 'Q645928', 'Q17013749', 'Q369747', 'Q52207310']",,2002-01-01,60025061,1A6KiKVz8WAD,,
Q151529,movie,Kambakkht Ishq,"['Q1054574', 'Q860626']",135.0,2009-01-01,70122011,,,
Q151751,movie,Lady Chatterley,"['Q130232', 'Q52162262']",168.0,2006-01-01,70068657,,,
Q151884,movie,Tideland,"['Q157394', 'Q130232']",120.0,2005-01-01,70040792,,,
Q151895,movie,Nosferatu,"['Q2137852', 'Q200092', 'Q226730', 'Q52207399', 'Q130232']",94.0,1922-02-17,70022049,,,
Q153613,movie,Eyes in the Night,"['Q959790', 'Q1200678']",80.0,1942-01-01,70026139,,,
Q155476,movie,The Fast and the Furious,"['Q188473', 'Q959790', 'Q2484376']",103.0,2001-06-22,60020747,,,
Q156516,movie,Underground,"['Q192881', 'Q130232', 'Q157443', 'Q369747']",163.0,1995-04-01,60032487,,,
Q157973,movie,The Wave,"['Q130232', 'Q1146335', 'Q52162262', 'Q109733333']",107.0,2008-01-01,70084189,,,
Q159063,movie,The Reader,"['Q1054574', 'Q130232', 'Q2975633', 'Q586250', 'Q52207399']",124.0,2008-01-01,70109683,,,
Q159638,movie,Blade II,"['Q188473', 'Q2484376', 'Q200092', 'Q157394', 'Q2137852', 'Q2421031', 'Q471839']",117.0,2002-03-12,60022707,,,
Q161196,movie,00 Schneider – Jagd auf Nihil Baxter,Q157443,90.0,1994-01-01,80240057,,,
Q162277,movie,Alexander,"['Q130232', 'Q188473', 'Q645928', 'Q369747', 'Q20442589', 'Q1433443']",175.0,2004-01-01,70001990,,,
Q162458,movie,Beyond the Sea,"['Q645928', 'Q842256', 'Q130232']",118.0,2004-01-01,70011209,,,
Q163869,movie,Rampage,"['Q200092', 'Q188473', 'Q130232']",85.0,2009-01-01,70138768,,,
Q164933,movie,London Boulevard,"['Q1054574', 'Q185867', 'Q19367312', 'Q130232', 'Q52207399']",107.0,2010-01-01,70124964,,,
Q166426,movie,Blonde Ice,"['Q959790', 'Q185867', 'Q130232']",73.0,1948-01-01,60031833,,,
Q166716,movie,Universal Soldier: Day of Reckoning,"['Q188473', 'Q2421031', 'Q2254193', 'Q471839', 'Q20443008', 'Q1077883']",114.0,2012-01-01,70229178,,,
Q169408,tv_film,Zebra Lounge,"['Q2439025', 'Q2484376', 'Q599558']",88.0,2001-01-01,60021910,,,
Q170019,anime,D.Gray-man,"['Q15712927', 'Q15712918', 'Q15637301', 'Q794912', 'Q1080374']",,,,,,4a006d79-8807-49fc-9aec-85ebb40ef2cc
Q172271,movie,Maleficent,"['Q157394', 'Q130232', 'Q188473', 'Q1146335', 'Q1361932', 'Q794912', 'Q319221', 'Q3038946', 'Q1054574', 'Q1957385']",97.0,2014-05-28,70298386,1QAyjfzQe6OK,,
Q174454,movie,Saajan,"['Q860626', 'Q1919632']",181.0,1991-01-01,17960498,,,
Q175038,movie,12 Monkeys,"['Q20443008', 'Q2421031', 'Q1341051']",131.0,1995-01-01,17672318,,,
Q175555,tv_film,Babylon 5: A Call to Arms,Q471839,90.0,1999-01-01,70001925,,,
Q178826,movie,Marie and Bruce,"['Q130232', 'Q157443']",90.0,2004-01-01,60034801,,,
Q179798,movie,Kalifornia,"['Q200092', 'Q959790', 'Q130232']",114.0,1993-01-01,664132,,,
Q180098,movie,Ben-Hur,"['Q652256', 'Q130232', 'Q188473', 'Q1433443', 'Q52207399']",222.0,1959-11-18,70038486,,,
Q180363,movie,Alexandra's Project,Q130232,99.0,2003-01-01,70019002,,,
Q180395,movie,15 Minutes,"['Q188473', 'Q4984974', 'Q2484376', 'Q959790', 'Q130232']",120.0,2001-01-01,60000898,,,
Q180638,movie,Odds and Evens,"['Q663106', 'Q157443', 'Q188473']",114.0,1978-10-28,,55lxeslvYzu3,,
Q181086,movie,A Clockwork Orange,"['Q130232', 'Q959790', 'Q20443008', 'Q2484376', 'Q586250', 'Q52207399', 'Q1200678', 'Q2973181', 'Q471839', 'Q108084492']",136.0,1971-01-01,383466,,,
